Daily Predicted,Date,Real Average Monthly/30
234.6633223,Aug 2018,
177.5819423,Aug 2018,
177.5819423,Aug 2018,
177.5819423,Aug 2018,
263.2040123,Aug 2018,
234.6633223,Aug 2018,
206.1226323,Aug 2018,
377.3667723,Aug 2018,
291.7447023,Aug 2018,
91.95987231,Aug 2018,
202.6022735,Aug 2018,
259.6836535,Aug 2018,
316.7650335,Aug 2018,
202.6022735,Aug 2018,
316.7650335,Sep 2018,169.4333333
516.5498635,Sep 2018,
459.4684835,Sep 2018,
316.7650335,Sep 2018,
402.3871035,Sep 2018,
488.0091735,Sep 2018,
345.3057235,Sep 2018,
231.1429635,Sep 2018,
231.1429635,Sep 2018,
88.43951346,Sep 2018,
373.8464135,Sep 2018,
459.4684835,Sep 2018,
345.3057235,Sep 2018,
573.6312435,Sep 2018,
716.3346935,Sep 2018,
659.2533135,Sep 2018,
573.6312435,Sep 2018,
430.9277935,Sep 2018,
430.9277935,Sep 2018,
288.2243435,Sep 2018,
402.3871035,Sep 2018,
316.7650335,Sep 2018,
430.9277935,Sep 2018,
402.3871035,Sep 2018,
516.5498635,Sep 2018,
687.7940035,Sep 2018,
630.0601227,Sep 2018,
687.1415027,Sep 2018,
715.6821927,Sep 2018,
858.3856427,Sep 2018,
858.3856427,Oct 2018,412.6333333
601.5194327,Oct 2018,
430.2752927,Oct 2018,
487.3566727,Oct 2018,
487.3566727,Oct 2018,
630.0601227,Oct 2018,
886.9263327,Oct 2018,
1086.711163,Oct 2018,
1086.711163,Oct 2018,
829.8449527,Oct 2018,
715.6821927,Oct 2018,
515.8973627,Oct 2018,
401.7346027,Oct 2018,
373.1939127,Oct 2018,
658.6008127,Oct 2018,
829.8449527,Oct 2018,
772.7635727,Oct 2018,
1029.629783,Oct 2018,
944.0077127,Oct 2018,
658.6008127,Oct 2018,
744.2228827,Oct 2018,
487.3566727,Oct 2018,
658.6008127,Oct 2018,
344.6532227,Oct 2018,
344.6532227,Oct 2018,
829.8449527,Oct 2018,
974.2289262,Oct 2018,
1088.391686,Oct 2018,
1116.932376,Oct 2018,
