Date,"Patterson-UTI Drilling Company, LLC","Nabors Drilling USA, LP",Helmerich & Payne International Drlg Co,"Cactus Drilling Company, LLC",Precision Drilling (US) Corporation,"Sidewinder Drilling, LLC",SWN Drilling Company,"Falcon Drilling Company, LLC",Pioneer Energy Services Corp.,"Scandrill, Inc.","Independence Contract Drilling, Inc.","Basin Drilling, LP",Unit Drilling Company,"Fountain Quail Drilling, LLC"
Oct 2015,23,19,22,3,8,,10,1,4,5,,1,,
Oct 2015,27,20,26,1,9,,11,1,3,5,,,,
Sep 2015,29,20,23,3,9,,11,,4,4,,1,,
Sep 2015,32,20,25,3,10,,9,,3,4,,1,,
Sep 2015,32,19,26,3,11,,9,1,4,4,,1,,
Sep 2015,35,19,25,5,12,,11,1,4,5,,1,,
Aug 2015,28,19,30,4,13,,11,,5,5,,1,,
Aug 2015,31,20,28,5,14,,8,1,5,6,,,,
Aug 2015,33,19,28,5,12,,11,1,3,6,,,,
Aug 2015,36,22,19,3,13,,10,1,3,6,,,,
Jul 2015,33,21,16,3,12,,11,1,3,5,,,,
Jul 2015,36,19,23,3,11,,11,1,3,4,,,,
Jul 2015,39,17,22,3,14,,10,,5,6,,,,
Jul 2015,33,20,21,5,14,,9,,4,5,,,,
Jul 2015,37,20,22,5,16,,10,,4,5,,,,
Jun 2015,33,19,25,4,15,,9,,2,5,,,,
Jun 2015,24,19,29,1,16,,7,,4,4,,,,
Jun 2015,34,18,26,1,16,,9,1,4,5,,,,
Jun 2015,39,17,29,2,17,,9,1,4,5,,,,
May 2015,41,18,28,2,18,,9,1,2,4,,,,
May 2015,41,18,29,3,13,,9,1,3,4,,,,
May 2015,42,17,23,1,16,,6,1,2,4,,1,,
May 2015,41,18,26,3,13,,9,1,2,4,,1,1,
May 2015,42,16,29,5,13,,9,1,3,3,,1,1,
Apr 2015,43,16,31,4,15,,10,1,4,3,,1,1,
Apr 2015,45,17,26,4,14,,7,1,3,3,,,2,
