Date,Henry Hub Daily Price
Feb-2017,3.13
Feb-2017,3.13
Feb-2017,3.15
Jan-2017,3
Jan-2017,3.22
Jan-2017,3.31
Jan-2017,3.44
Jan-2017,3.26
Jan-2017,3.16
Jan-2017,3.16
Jan-2017,3.23
Jan-2017,3.25
Jan-2017,3.26
Jan-2017,3.37
Jan-2017,3.36
Jan-2017,3.36
Jan-2017,3.36
Jan-2017,3.27
Jan-2017,3.21
Jan-2017,3.14
Jan-2017,3.38
Jan-2017,3.42
Jan-2017,3.42
Jan-2017,3.41
Jan-2017,3.71
Dec-2016,3.71
Dec-2016,3.71
Dec-2016,3.7
Dec-2016,3.7
Dec-2016,3.6
Dec-2016,3.6
Dec-2016,3.5
Dec-2016,3.5
Dec-2016,3.39
Dec-2016,3.55
Dec-2016,3.51
Dec-2016,3.56
Dec-2016,3.55
Dec-2016,3.65
Dec-2016,3.6
Dec-2016,3.75
Dec-2016,3.68
Dec-2016,3.8
Dec-2016,3.75
Dec-2016,3.44
Dec-2016,3.44
Dec-2016,3.32
Nov-2016,3.32
Nov-2016,3.02
Nov-2016,2.96
Nov-2016,2.76
Nov-2016,2.76
Nov-2016,2.76
Nov-2016,2.73
Nov-2016,2.81
Nov-2016,2.6
Nov-2016,2.37
Nov-2016,2.49
Nov-2016,2.49
Nov-2016,2.26
Nov-2016,2.08
Nov-2016,2.08
Nov-2016,2.22
Nov-2016,2.34
Nov-2016,2.37
Nov-2016,2.2
Nov-2016,2.41
Nov-2016,2.53
Nov-2016,2.53
Oct-2016,2.85
Oct-2016,2.72
Oct-2016,2.72
Oct-2016,2.69
Oct-2016,2.69
Oct-2016,2.78
Oct-2016,2.92
Oct-2016,3.12
Oct-2016,3.18
Oct-2016,3.25
Oct-2016,3.21
Oct-2016,3.18
Oct-2016,3.16
Oct-2016,3.17
Oct-2016,3.17
Oct-2016,3.18
Oct-2016,3.02
Oct-2016,3.04
Oct-2016,2.83
Oct-2016,2.83
Oct-2016,2.84
Sep-2016,2.84
Sep-2016,2.98
Sep-2016,3.07
Sep-2016,3.09
Sep-2016,3.06
Sep-2016,3.06
Sep-2016,3.18
Sep-2016,3.19
Sep-2016,3.12
Sep-2016,3
Sep-2016,2.97
Sep-2016,2.98
Sep-2016,3.07
Sep-2016,3.04
Sep-2016,3.04
Sep-2016,2.93
Sep-2016,2.88
Sep-2016,2.77
Sep-2016,2.88
Sep-2016,2.88
Sep-2016,2.88
Sep-2016,2.95
Aug-2016,2.95
Aug-2016,2.95
Aug-2016,2.97
Aug-2016,2.91
Aug-2016,2.89
Aug-2016,2.82
Aug-2016,2.75
Aug-2016,2.75
Aug-2016,2.67
Aug-2016,2.75
Aug-2016,2.76
Aug-2016,2.75
Aug-2016,2.75
Aug-2016,2.7
Aug-2016,2.7
Aug-2016,2.76
Aug-2016,2.85
Aug-2016,2.85
Aug-2016,2.88
Aug-2016,2.89
Aug-2016,2.89
Aug-2016,2.79
Aug-2016,2.97
Jul-2016,2.97
Jul-2016,2.79
Jul-2016,2.84
Jul-2016,2.84
Jul-2016,2.8
Jul-2016,2.8
Jul-2016,2.76
Jul-2016,2.76
Jul-2016,2.83
Jul-2016,2.83
Jul-2016,2.7
Jul-2016,2.79
Jul-2016,2.81
Jul-2016,2.88
Jul-2016,2.88
Jul-2016,2.8
Jul-2016,2.78
Jul-2016,2.82
Jul-2016,2.82
Jul-2016,2.89
Jul-2016,2.89
Jun-2016,2.94
Jun-2016,2.94
Jun-2016,2.89
Jun-2016,2.79
Jun-2016,2.71
Jun-2016,2.69
Jun-2016,2.82
Jun-2016,2.79
Jun-2016,2.74
Jun-2016,2.59
Jun-2016,2.62
Jun-2016,2.62
Jun-2016,2.55
Jun-2016,2.55
Jun-2016,2.46
Jun-2016,2.34
Jun-2016,2.36
Jun-2016,2.32
Jun-2016,2.32
Jun-2016,2.31
Jun-2016,2.3
Jun-2016,2.25
May-2016,2.12
May-2016,1.77
May-2016,1.77
May-2016,1.77
May-2016,1.77
May-2016,1.91
May-2016,1.96
May-2016,1.81
May-2016,1.83
May-2016,1.91
May-2016,1.97
May-2016,1.91
May-2016,1.96
May-2016,2.01
May-2016,2.01
May-2016,2.01
May-2016,2.01
May-2016,1.86
May-2016,2.05
May-2016,2.03
May-2016,1.94
May-2016,1.91
Apr-2016,1.89
Apr-2016,1.88
Apr-2016,1.88
Apr-2016,1.97
Apr-2016,1.97
Apr-2016,1.92
Apr-2016,1.96
Apr-2016,1.94
Apr-2016,1.94
Apr-2016,1.76
Apr-2016,1.71
Apr-2016,1.93
Apr-2016,2.01
Apr-2016,1.97
Apr-2016,1.9
Apr-2016,1.99
Apr-2016,1.96
Apr-2016,1.91
Apr-2016,1.96
Apr-2016,1.96
Apr-2016,1.88
Mar-2016,1.98
Mar-2016,1.87
Mar-2016,1.77
Mar-2016,1.78
Mar-2016,1.78
Mar-2016,1.78
Mar-2016,1.79
Mar-2016,1.79
Mar-2016,1.79
Mar-2016,1.84
Mar-2016,1.84
Mar-2016,1.77
Mar-2016,1.81
Mar-2016,1.68
Mar-2016,1.74
Mar-2016,1.72
Mar-2016,1.61
Mar-2016,1.6
Mar-2016,1.56
Mar-2016,1.49
Mar-2016,1.59
Mar-2016,1.6
Mar-2016,1.57
Feb-2016,1.62
Feb-2016,1.78
Feb-2016,1.78
Feb-2016,1.85
Feb-2016,1.85
Feb-2016,1.86
Feb-2016,1.83
Feb-2016,1.89
Feb-2016,1.93
Feb-2016,1.95
Feb-2016,2.08
Feb-2016,2.08
Feb-2016,2.15
Feb-2016,2.16
Feb-2016,2.17
Feb-2016,2.23
Feb-2016,2.08
Feb-2016,2.07
Feb-2016,2.06
Feb-2016,2.07
Feb-2016,2.28
Jan-2016,2.28
Jan-2016,2.15
Jan-2016,2.26
Jan-2016,2.26
Jan-2016,2.16
Jan-2016,2.21
Jan-2016,2.22
Jan-2016,2.18
Jan-2016,2.23
Jan-2016,2.18
Jan-2016,2.18
Jan-2016,2.21
Jan-2016,2.28
Jan-2016,2.4
Jan-2016,2.54
Jan-2016,2.47
Jan-2016,2.35
Jan-2016,2.37
Jan-2016,2.33
Jan-2016,2.39
Jan-2016,2.28
Dec-2015,2.28
Dec-2015,2.28
Dec-2015,2.39
Dec-2015,2.11
Dec-2015,1.63
Dec-2015,1.63
Dec-2015,1.63
Dec-2015,1.73
Dec-2015,1.76
Dec-2015,1.74
Dec-2015,1.79
Dec-2015,1.7
Dec-2015,1.66
Dec-2015,1.7
Dec-2015,1.79
Dec-2015,1.95
Dec-2015,2
Dec-2015,2.01
Dec-2015,2.06
Dec-2015,2.1
Dec-2015,2.14
Dec-2015,2.19
Dec-2015,2.11
Nov-2015,2.11
Nov-2015,2.14
Nov-2015,2.14
Nov-2015,2.14
Nov-2015,2.14
Nov-2015,2.18
Nov-2015,2.18
Nov-2015,2.1
Nov-2015,2.1
Nov-2015,2.05
Nov-2015,2.02
Nov-2015,2.02
Nov-2015,2.05
Nov-2015,2.13
Nov-2015,2.14
Nov-2015,2.19
Nov-2015,2.19
Nov-2015,2.04
Nov-2015,2.04
Nov-2015,1.92
